Date,PO Number,Order Total,Item Description,SKU #,Unit Price,Qty,Subtotal
1/30/2024,H0563-451731,111.11,,,,,
1/29/2024,H0563-451511,129.81,,,,,
2/1/2024,H0563-452115,82.8,,,,,
2/20/2024,H0554-372233,97.39,,,,,
1/17/2024,H0563-449496,45.85,,,,,
1/19/2024,H0563-449935,132.52,,,,,
1/22/2024,H0563-450244,95.31,,,,,
1/23/2024,H0563-450505,56.84,,,,,
1/25/2024,H0563-450889,19.93,,,,,
1/30/2024,H0563-451731,111.11,,,,,
1/31/2024,H0563-451934,92.16,,,,,
2/5/2024,H0563-452792,47.41,,,,,
2/6/2024,H0563-452892,103.78,,,,,
2/9/2024,H0563-453627,31.65,,,,,
2/12/2024,H0563-454069,109.69,,,,,
2/17/2024,H0563-455030,22.03,,,,,
2/19/2024,H0563-455252,97.8,,,,,
2/19/2024,H0563-455305,14.78,,,,,
2/19/2024,H0563-455342,56.76,,,,,
2/29/2024,H0563-457154,219.68,,,,,
2/29/2024,H0563-457214,74.96,,,,,
3/2/2024,H0563-457521,50.15,,,,,
3/4/2024,H0563-457777,16.22,,,,,
3/6/2024,H0563-458203,86.17,,,,,
3/21/2024,H0563-460934,69.99,,,,,
3/7/2024,H6557-293252,35.63,,,,,
