Purchase Date,Store #,Order #,Receipt #,PO / Job Name,Item Purchased,Order Total,Payment Method,Data Extraction Date,File Path
"1/30/2024, 2:25 PM",0563,H0563-451731,0563 00097 41224,3701,"01 ESSENTIALS by Schlage Jeffir Aged Bronze Passage  Hall/Closet Door KnobN/A 1004300493 $13.47 / each 1$12.80
02 DAP 16 oz. White Painter's Putty '53' N/A 743632 $9.48 / each 1$9.48
03 BEHR PREMIUM PLUS 1 gal. Medium Base Semi-Gloss  Enamel Low Odor Interior Paint and Primer in OneN/A 928480 $37.98 / gallon 1$30.38
04 DAP Alex Fast Dry 10.1 oz. White Acrylic Latex Plus  Silicone Caulk (12-Pack)N/A 810820 $49.98 / case 1$49.98",$111.11,Master Card 0305 Charged $111.11,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\$111.11_H0563-451731 Receipt.txt
"1/29/2024, 2:36 PM",0563,H0563-451511,0563 00097 38915,3701,01 Woodgrain Millwork WG A214 - 5/8 in. x 2-1/4 in. x 84 in.  Primed Finger-Jointed Casing Molding Door PackN/A 720219 $29.98 / each 4$119.92,$129.81,Master Card 0305 Charged $129.81,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\$129.81_H0563-451511 Receipt.txt
"2/01/2024, 10:30 AM",0563,H0563-452115,0563 00097 45548,3701,"01 Handprint 1/8 in. x 2 ft. x 4 ft. Tempered Hardboard  (Actual: 0.115 in. x 23.75 in. x 47.75 in.) Project PanelN/A 619375 $6.49 / each 1$6.49
02 Glasliner 4 ft. x 8 ft. White .090 FRP Wall Board N/A 121586 $39.98 / each 1$39.98
03 USG 3.5 gal. Soquete Ready-Mixed Joint Compound N/A 611778 $9.88 / each 2$19.36
04 USG USG Sheetrock Easy Sand Patching Compound -  18 LB Bag (Set Time: 5 min) 384150N/A 506080 $10.88 / bag 1$10.66",$82.80,Master Card 0305 Charged $82.80,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\$82.80_H0563-452115 Receipt.txt
"2/20/2024, 11:45 AM",0554,H0554-372233,0554 00097 62022,3701-108,01 Home Decorators Collection 24 in. W x 30 in. H  Rectangular Aluminum Framed Wall Bathroom Vanity  Mirror in BlackN/A 1008474012 $89.97 / each 1$89.97,$97.39,Master Card 0305 Charged $97.39,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0554-372233 Receipt.txt
"1/17/2024, 11:11 AM",0563,H0563-449496,0563 00097 17976,3701,"01 AMERIGAS Propane Tank Exchange N/A 600372 $21.98 / each 1$21.98
02 Teks 8x 1-1/4 in. Phillips Truss Head Drill Point Lath  Screws (140-Pack)    PREFERRED PRICING $0.66 OFF EACHN/A 189242 $13.27 / each $12.61 / each1$12.61
03 DIABLO Steel Demon 4-1/2 in. x 0.045 in. x 7/8 in. Metal  DC Cut Off Type 27    PREFERRED PRICING $0.25 OFF EACHN/A 1004690784 $4.97 / each $4.72 / each2$9.44",$45.85,Master Card 0305 Charged $45.85,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-449496 Receipt.txt
"1/19/2024, 11:21 AM",0563,H0563-449935,0563 00097 22869,3701,"01 Trimaco 1 ft. x 180 ft. Brown All-Purpose Masking Paper N/A 194724 $3.38 / each 2$6.76
02 3M 0.94 in. x 60.1 Yds. Multi-Surface Contractor Grade  Tan Masking Tape (1 Roll)    PREFERRED PRICING $0.08 OFF EACHN/A 690187 $2.48 / each $2.40 / each3$7.20
03 3M 1.41 in. x 60.1 Yds. Multi-Surface Contractor Grade  Tan Masking Tape (1 Roll)    PREFERRED PRICING $0.10 OFF EACHN/A 151469 $3.48 / each $3.38 / each1$3.38
04 3M N95 Disposable Paint Prep Sanding Disposable  Respirator Mask (2-Pack)N/A 401520 $7.48 / each 1$7.48
05 BEHR PRO 5 gal. Deep Semi-Gloss Interior Paint    DISCOUNT $24.40 OFF EACHN/A 1001330797 $122.00 / each $97.60 / each1$97.60",$132.52,Master Card 0305 Charged $132.52,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-449935 Receipt.txt
"1/22/2024, 11:59 AM",0563,H0563-450244,0563 00097 26225,3701,"01 AMERIGAS Propane Tank Exchange N/A 600372 $21.98 / each 1$21.98
02 BEHR DYNASTY 8 oz. Ultra Pure White Matte Interior /Exterior Stain-Blocking Paint & Primer SampleN/A 1006136643 $6.98 / each 1$6.98
03 BEHR PREMIUM PLUS 1 gal. Medium Base Semi-Gloss  Enamel Low Odor Interior Paint and Primer in One    DISCOUNT $7.60 OFF EACHN/A 928480 $37.98 / gallon $30.38 / gallon2$60.76",$95.31,Master Card 0305 Charged $95.31,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-450244 Receipt.txt
"1/23/2024, 2:07 PM",0563,H0563-450505,0563 00097 28866,3701,"01 Oatey Heavy Duty 1-1/2 in to 1-1/4 in. Plastic Adjustable  Diameter P-Trap with Reducing Washer    PREFERRED PRICING $0.63 OFF EACHN/A 1006128641 $12.57 / each $11.94 / each1$11.94
02 BrassCraft 3/8 in. Compression x 1/2 in. FIP x 20 in.  Braided Polymer Faucet Supply Line    PREFERRED PRICING $0.15 OFF EACHN/A 405183 $7.28 / each $7.13 / each2$14.26
03 BrassCraft 3/8 in. Compression x 7/8 in. Ballcock Nut x 16  in. Braided Polymer Toilet Supply Line    PREFERRED PRICING $0.14 OFF EACHN/A 1000011539 $6.97 / each $6.83 / each1$6.83
04 BrassCraft 1/2 in. Nominal Compression Inlet x 3/8 in. O. D. Compression Outlet Multi-Turn Chrome Plated Angle  Valve    PREFERRED PRICING $0.20 OFF EACHN/A 235674 $9.94 / each $9.74 / each2$19.48",$56.84,Master Card 0305 Charged $56.84,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-450505 Receipt.txt
"1/25/2024, 1:10 PM",0563,H0563-450889,0563 00097 32728,3701,01 Custom Building Products Polyblend Plus #60 Charcoal  25 lb. Sanded GroutN/A 1005399930 $18.98 / each 1$18.41,$19.93,Master Card 0305 Charged $19.93,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-450889 Receipt.txt
"1/30/2024, 2:25 PM",0563,H0563-451731,0563 00097 41224,3701,"01 ESSENTIALS by Schlage Jeffir Aged Bronze Passage  Hall/Closet Door KnobN/A 1004300493 $13.47 / each 1$12.80
02 DAP 16 oz. White Painter's Putty '53' N/A 743632 $9.48 / each 1$9.48
03 BEHR PREMIUM PLUS 1 gal. Medium Base Semi-Gloss  Enamel Low Odor Interior Paint and Primer in OneN/A 928480 $37.98 / gallon 1$30.38
04 DAP Alex Fast Dry 10.1 oz. White Acrylic Latex Plus  Silicone Caulk (12-Pack)N/A 810820 $49.98 / case 1$49.98",$111.11,Master Card 0305 Charged $111.11,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-451731 Receipt.txt
